district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
jamui,0.14232467733146817,bihar,0.13137412072861554,0.09513402033148917,0.09332435044963236,bihar,0.15518890952222889,0.12488231325061869,0.13662954180044992,1.0129537261611519,Medium
jaunpur,0.10237857063465598,uttarpradesh,0.5220295877637454,0.13359326549309777,0.22396672427429037,uttar pradesh,0.4035338061862593,0.23763828423091535,0.3496636816126686,1.4119936370041135,Medium
jhabua,0.1098089607104807,madhyapradesh,0.07843065323139596,0.03374369956588181,0.16737455695831743,madhya pradesh,0.08838730553591846,0.07757589012337561,0.11208348096263815,1.2798440393210577,Medium
jhajjar,0.038818630600444035,haryana,0.12180935428691185,0.04877522708500369,0.1805852544011248,haryana,0.08233329463446558,0.06670282665175227,0.11180888256446334,1.457689207101849,Medium
jhalawar,0.11568463200470615,rajasthan,0.18238931347211057,0.011754529971648992,0.29333020885204597,rajasthan,0.12345983502654508,0.10451700583501033,0.17442094717419532,1.5231008346960382,High
jhansi,0.10608251530998135,uttarpradesh,0.3038552295596097,0.15971492663756806,0.14517121181053924,uttar pradesh,0.1768273905135449,0.18150405298314587,0.16733053690264318,0.8737702116276871,Medium
jharsuguda,0.19763715276365834,odisha,0.07043396324337295,0.041665796493216126,0.12648290811095814,orissa,0.047913104508563446,0.11268478902644007,0.07148404558928184,0.582664290793834,Low
jind,0.0360334203542102,haryana,0.2815740784399325,0.026208564988639316,0.37944872433287435,haryana,0.11646705863350847,0.10674816117025561,0.19536155834331823,1.6733587611578697,High
jodhpur,0.020382403890727794,rajasthan,0.14129574064341308,0.01100576463427442,0.6400597557046193,rajasthan,0.33022043638151416,0.05384341313959736,0.4231722321784457,6.628283347777081,High
jorhat,0.28995274847713465,assam,0.30699756859853444,0.2993281277287504,0.021910425027095108,assam,0.09449264240047806,0.2978788082890393,0.07271797718846316,0.2361902645803244,Low
jalandhar,0.08512593628770564,punjab,0.42059537272323844,0.0,0.7002841325170625,punjab,0.19454048001494179,0.16022898633205376,0.346263575765578,2.0341046682269837,High
kaithal,0.040154035084865675,haryana,0.16383897513926798,0.0,0.66724274290401,haryana,0.09286183940987315,0.06521330657572666,0.2651761104581142,3.525654203104715,High
kalahandi,0.14169519921274568,odisha,0.2301981479081758,0.1560622411612321,0.10211195407012506,orissa,0.13851605648726564,0.17255619640592063,0.12759482576212347,0.6989345104365098,Low
kamrup,0.24070842042198345,assam,0.2855192119127343,0.20906238735037178,0.08822754034974661,assam,0.1331266486762353,0.24465784794772522,0.11965691617828869,0.4698732716961121,Low
kancheepuram,0.16745771625772277,tamilnadu,0.3302133650725042,0.11932745277682184,0.19505550836286945,tamil nadu,0.35848032998324686,0.20184533185788692,0.3094528834971336,1.460749126653993,Medium
kandhamal,0.2028199101597551,odisha,0.12531951639269118,0.098099079613758,0.07539763906382728,orissa,0.06186695329264684,0.1481535428658368,0.06592615902400097,0.41684908114848096,Low
kanker,0.19187778039834416,chattisgarh,0.2369312485926101,0.16757077688177655,0.09593133952371187,chhattisgarh,0.06330507952617324,0.19810171980165364,0.07309295752543483,0.3512366817299797,Low
kannauj,0.07003093171978733,uttarpradesh,0.23516007280789128,0.10126060892770719,0.1946161281818448,uttar pradesh,0.14576046636314402,0.12893857720859447,0.16041716490875424,1.1545905257681819,Medium
kannur,0.5197350336290957,kerala,0.14685124644616632,0.08252539620132211,0.13313219485046426,kerala,0.22446515166958364,0.2767070062458848,0.19706526462384782,0.687340247467972,Low
kanpur nagar,0.09267452294396233,uttarpradesh,0.30424096363529324,0.06851197161933074,0.23184627552066547,uttar pradesh,0.4114429099949728,0.14889568975397213,0.35756391965268053,2.250305972467337,High
kapurthala,0.05161368152527805,punjab,0.2507077276184412,0.0,0.6551451419197983,punjab,0.06932129998399357,0.09585779089564357,0.245068452564735,2.3150724239685645,High
karauli,0.06305977331197117,rajasthan,0.12740701210241115,0.000766811978066181,0.46337033890857954,rajasthan,0.12774023866482004,0.06367605654893166,0.2284292687379479,3.100454604084809,High
karbi anglong,0.1165903539662272,assam,0.10437679957534365,0.10563289001401054,0.013708661647968596,assam,0.08214325230735187,0.10963904846329714,0.061612875109536884,0.5149896785449483,Low
